method,samples,top1_accuracy,top3_accuracy,macro_f1,hematite_recall,magnetite_recall,hm_min_recall,min_class_recall,feature_count,feature_mode,ablation_type,ablation_value
ExtraTrees,120,0.6583333333333333,1.0,0.6577391304347826,0.6166666666666667,0.7,0.6166666666666667,0.6166666666666667,265,thickness_aware,feature_family_only,raw_counts
ExtraTrees,120,0.625,1.0,0.6173198214159166,0.48333333333333334,0.7666666666666667,0.48333333333333334,0.48333333333333334,190,thickness_aware,feature_family_only,calibrated_transmission
ExtraTrees,120,0.525,1.0,0.5152717737934944,0.38333333333333336,0.6666666666666666,0.38333333333333336,0.38333333333333336,172,thickness_aware,feature_family_only,attenuation
ExtraTrees,120,0.6333333333333333,1.0,0.6316964285714286,0.7,0.5666666666666667,0.5666666666666667,0.5666666666666667,124,thickness_aware,feature_family_only,thickness_normalized_attenuation
ExtraTrees,120,0.525,1.0,0.5247029393370857,0.55,0.5,0.5,0.5,387,thickness_aware,feature_family_only,spectral_shape
ExtraTrees,120,0.5166666666666667,1.0,0.5132867132867133,0.43333333333333335,0.6,0.43333333333333335,0.43333333333333335,505,thickness_aware,feature_family_only,scatter_direct
ExtraTrees,120,0.5583333333333333,1.0,0.5583026599069381,0.5666666666666667,0.55,0.55,0.55,306,thickness_aware,feature_family_only,detector_response
ExtraTrees,120,0.6583333333333333,1.0,0.6581196581196581,0.6833333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,303,thickness_aware,feature_family_only,source_fusion
ExtraTrees,120,0.475,1.0,0.4666666666666667,0.6,0.35,0.35,0.35,5,thickness_aware,feature_family_only,dictionary_distance
ExtraTrees,120,0.65,1.0,0.6484375,0.5833333333333334,0.7166666666666667,0.5833333333333334,0.5833333333333334,278,thickness_aware,feature_family_only,other_numeric
