split_role,random_seed,material,samples
train,2101,Hematite,10
train,2101,Magnetite,10
train,2102,Hematite,10
train,2102,Magnetite,10
train,2103,Hematite,10
train,2103,Magnetite,10
train,2104,Hematite,10
train,2104,Magnetite,10
train,2105,Hematite,10
train,2105,Magnetite,10
train,2106,Hematite,10
train,2106,Magnetite,10
train,2107,Hematite,10
train,2107,Magnetite,10
train,2108,Hematite,10
train,2108,Magnetite,10
train,2109,Hematite,10
train,2109,Magnetite,10
train,2110,Hematite,10
train,2110,Magnetite,10
train,2111,Hematite,10
train,2111,Magnetite,10
train,2112,Hematite,10
train,2112,Magnetite,10
unused,2301,Hematite,10
unused,2301,Magnetite,10
unused,2302,Hematite,10
unused,2302,Magnetite,10
unused,2303,Hematite,10
unused,2303,Magnetite,10
unused,2304,Hematite,10
unused,2304,Magnetite,10
unused,2305,Hematite,10
unused,2305,Magnetite,10
unused,2306,Hematite,10
unused,2306,Magnetite,10
validation,2201,Hematite,10
validation,2201,Magnetite,10
validation,2202,Hematite,10
validation,2202,Magnetite,10
validation,2203,Hematite,10
validation,2203,Magnetite,10
validation,2204,Hematite,10
validation,2204,Magnetite,10
validation,2205,Hematite,10
validation,2205,Magnetite,10
validation,2206,Hematite,10
validation,2206,Magnetite,10
