material,source_id,thickness_mm,random_seed,run_id,sample_id,n_events,event_id_min,event_id_max,edep_sum,edep_mean,edep_std,edep_max,detector_gamma_sum,primary_gamma_sum,nonzero_edep_rate,detector_gamma_rate,primary_transmission_rate,hit_count,hit_energy_mean,hit_energy_std,hit_energy_min,hit_energy_max,primary_hit_rate,direct_primary_count,scattered_primary_count,theta_mean,theta_std,y_mean,y_std,z_mean,z_std,r_mean,r_std,e_lt40_count,e_40_80_count,e_ge80_count,hit_count_rate,direct_primary_count_rate,scattered_primary_count_rate,e_lt40_count_rate,e_40_80_count_rate,e_ge80_count_rate,scatter_direct_ratio
Quartz,spectrum_120kv,10.0,0,legacy_quartz,0,100,0,99,454.478831,4.54478831,13.412659411898776,69.5,36,36,0.14,0.36,0.36,36.0,59.21183633333333,20.3697151045576,28.5,109.5,1.0,32.0,4.0,1.6878718055555555,5.215735624751638,6.299074111111111,23.074062702671096,-1.0441435555555556,9.626163047022727,11.682421329833595,22.948429229844777,4.0,26.0,6.0,0.36,0.32,0.04,0.04,0.26,0.06,0.12499999609375013
Quartz,spectrum_120kv,10.0,0,legacy_quartz,1,100,100,199,667.622702,6.67622702,19.280269180927288,89.5,36,36,0.14,0.36,0.36,36.0,57.336672694444445,18.381501784606673,28.5,95.5,1.0,35.0,1.0,0.5925802777777778,3.5554816666666667,-2.246215138888889,16.82672762594716,0.27747961111111114,3.8367520851056693,6.354063967787121,16.17407146005348,6.0,24.0,6.0,0.36,0.35,0.01,0.06,0.24,0.06,0.028571427755102068
Quartz,spectrum_120kv,10.0,0,legacy_quartz,2,100,200,299,612.92605,6.1292605,15.07370997849365,58.5,46,46,0.16,0.46,0.46,46.0,63.99291665217391,23.047833694083934,28.207492,112.5,1.0,42.0,4.0,1.1386084782608696,4.496591521830125,-3.162788956521739,16.537997965017546,3.338061760869565,11.6732291397171,8.477751312401981,18.918668700643728,7.0,27.0,12.0,0.46,0.42,0.04,0.07,0.27,0.12,0.0952380929705216
Quartz,spectrum_120kv,10.0,0,legacy_quartz,3,100,300,399,207.970127,2.0797012699999997,9.409632801409115,64.5,34,34,0.07,0.34,0.34,34.0,64.02941176470588,20.3964276345039,28.5,114.5,1.0,33.0,1.0,0.32433288235294117,1.89116943491652,0.2093272647058823,3.275348783409859,-1.4174632352941174,8.4636736374332,5.082975048607464,7.6064019127077716,6.0,22.0,6.0,0.34,0.33,0.01,0.06,0.22,0.06,0.030303029384756687
Quartz,spectrum_120kv,10.0,0,legacy_quartz,4,100,400,499,363.18329800000004,3.6318329800000004,13.980949655139591,81.5,37,37,0.08,0.37,0.37,37.0,65.74324324324324,25.997227849443018,30.5,117.5,1.0,35.0,2.0,0.7607479729729729,3.473518581403785,-1.5471758918918919,7.846641527752008,0.9347125675675677,12.7652687241021,7.019151591872152,13.313264577954525,6.0,18.0,13.0,0.37,0.35,0.02,0.06,0.18,0.13,0.057142855510204135
Quartz,spectrum_120kv,10.0,0,legacy_quartz,5,100,500,599,316.609805,3.16609805,11.117592573908123,61.5,36,36,0.12,0.36,0.36,36.0,64.04647022222223,22.350664089051943,27.5,108.5,1.0,34.0,2.0,1.1522002777777778,5.884759516661068,0.006505111111111035,5.19923659833573,-1.6073045000000001,9.142747202385323,5.918191384179984,8.78939519400454,6.0,21.0,9.0,0.36,0.34,0.02,0.06,0.21,0.09,0.05882352768166096
Quartz,spectrum_120kv,10.0,0,legacy_quartz,6,100,600,699,602.0,6.02,15.519118219249131,68.5,37,37,0.14,0.37,0.37,37.0,62.8111488918919,25.035547401565303,31.5,114.5,1.0,35.0,2.0,0.9662990270270271,4.199886727732935,-0.01826272972972955,6.210230792158742,0.4852948918918919,18.59404954087066,8.152018286016547,17.783325200646786,9.0,20.0,8.0,0.37,0.35,0.02,0.09,0.2,0.08,0.057142855510204135
Quartz,spectrum_120kv,10.0,0,legacy_quartz,7,100,700,799,247.374253,2.47374253,10.238775099293298,59.5,28,28,0.07,0.28,0.28,28.0,66.92857142857143,25.572596112981408,28.5,114.5,1.0,25.0,3.0,1.0543568214285715,3.4582738309305787,-1.9513839285714287,8.163009710489389,-4.024515035714286,13.229042764295288,7.737651222741543,14.152707598066506,2.0,18.0,8.0,0.28,0.25,0.03,0.02,0.18,0.08,0.11999999520000018
Quartz,spectrum_120kv,10.0,0,legacy_quartz,8,100,800,899,679.71634,6.7971634,16.93770599355778,68.5,34,34,0.17,0.34,0.34,34.0,60.029411764705884,23.08907034378958,29.5,109.5,1.0,33.0,1.0,0.07656120588235293,0.4464247085113471,-1.0915330588235295,2.7427297391955503,-0.004897588235294129,3.5534392465919047,4.235367283515906,1.7015135741666705,9.0,18.0,7.0,0.34,0.33,0.01,0.09,0.18,0.07,0.030303029384756687
Quartz,spectrum_120kv,10.0,0,legacy_quartz,9,100,900,999,322.03959199999997,3.2203959199999996,12.756839251499102,74.5,30,30,0.08,0.3,0.3,30.0,59.82541153333333,22.30179484615758,28.5,109.5,1.0,28.0,2.0,1.1864215333333334,4.523707854526126,2.5814823,10.74922954811407,-3.038640366666667,17.17050577827803,8.943826837401726,18.54905366264383,7.0,17.0,6.0,0.3,0.28,0.02,0.07,0.17,0.06,0.07142856887755111
