row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,energy_scan,calibration,AIR_PATH,mono_40kev,1.0,101,0,8.332,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_40kev_seed101.txt,ms_energy_scan_calibration_mono_40kev_seed101
1,energy_scan,calibration,AIR_PATH,mono_40kev,1.0,202,0,5.452,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_40kev_seed202.txt,ms_energy_scan_calibration_mono_40kev_seed202
2,energy_scan,calibration,AIR_PATH,mono_50kev,1.0,101,0,7.485,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_50kev_seed101.txt,ms_energy_scan_calibration_mono_50kev_seed101
3,energy_scan,calibration,AIR_PATH,mono_50kev,1.0,202,0,8.067,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_50kev_seed202.txt,ms_energy_scan_calibration_mono_50kev_seed202
4,energy_scan,calibration,AIR_PATH,mono_60kev,1.0,101,0,5.885,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_60kev_seed101.txt,ms_energy_scan_calibration_mono_60kev_seed101
5,energy_scan,calibration,AIR_PATH,mono_60kev,1.0,202,0,5.385,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_60kev_seed202.txt,ms_energy_scan_calibration_mono_60kev_seed202
6,energy_scan,calibration,AIR_PATH,mono_70kev,1.0,101,0,7.115,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_70kev_seed101.txt,ms_energy_scan_calibration_mono_70kev_seed101
7,energy_scan,calibration,AIR_PATH,mono_70kev,1.0,202,0,4.951,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_70kev_seed202.txt,ms_energy_scan_calibration_mono_70kev_seed202
8,energy_scan,calibration,AIR_PATH,mono_80kev,1.0,101,0,4.504,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_80kev_seed101.txt,ms_energy_scan_calibration_mono_80kev_seed101
9,energy_scan,calibration,AIR_PATH,mono_80kev,1.0,202,0,4.275,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_80kev_seed202.txt,ms_energy_scan_calibration_mono_80kev_seed202
10,energy_scan,calibration,AIR_PATH,mono_90kev,1.0,101,0,4.486,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_90kev_seed101.txt,ms_energy_scan_calibration_mono_90kev_seed101
11,energy_scan,calibration,AIR_PATH,mono_90kev,1.0,202,0,4.769,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_90kev_seed202.txt,ms_energy_scan_calibration_mono_90kev_seed202
12,energy_scan,calibration,AIR_PATH,mono_100kev,1.0,101,0,5.793,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_100kev_seed101.txt,ms_energy_scan_calibration_mono_100kev_seed101
13,energy_scan,calibration,AIR_PATH,mono_100kev,1.0,202,0,6.097,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_100kev_seed202.txt,ms_energy_scan_calibration_mono_100kev_seed202
14,energy_scan,calibration,AIR_PATH,mono_110kev,1.0,101,0,6.281,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_110kev_seed101.txt,ms_energy_scan_calibration_mono_110kev_seed101
15,energy_scan,calibration,AIR_PATH,mono_110kev,1.0,202,0,5.950,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_110kev_seed202.txt,ms_energy_scan_calibration_mono_110kev_seed202
16,energy_scan,calibration,AIR_PATH,mono_120kev,1.0,101,0,4.964,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_120kev_seed101.txt,ms_energy_scan_calibration_mono_120kev_seed101
17,energy_scan,calibration,AIR_PATH,mono_120kev,1.0,202,0,4.655,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_calibration_mono_120kev_seed202.txt,ms_energy_scan_calibration_mono_120kev_seed202
18,energy_scan,material,Quartz,mono_40kev,10.0,101,0,20.127,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_40kev_10mm_seed101.txt,ms_energy_scan_quartz_mono_40kev_10mm_seed101
19,energy_scan,material,Quartz,mono_40kev,10.0,202,0,6.626,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_40kev_10mm_seed202.txt,ms_energy_scan_quartz_mono_40kev_10mm_seed202
20,energy_scan,material,Quartz,mono_50kev,10.0,101,0,6.298,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_50kev_10mm_seed101.txt,ms_energy_scan_quartz_mono_50kev_10mm_seed101
21,energy_scan,material,Quartz,mono_50kev,10.0,202,0,6.704,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_50kev_10mm_seed202.txt,ms_energy_scan_quartz_mono_50kev_10mm_seed202
22,energy_scan,material,Quartz,mono_60kev,10.0,101,0,5.369,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_60kev_10mm_seed101.txt,ms_energy_scan_quartz_mono_60kev_10mm_seed101
23,energy_scan,material,Quartz,mono_60kev,10.0,202,0,6.326,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_60kev_10mm_seed202.txt,ms_energy_scan_quartz_mono_60kev_10mm_seed202
24,energy_scan,material,Quartz,mono_70kev,10.0,101,0,6.089,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_70kev_10mm_seed101.txt,ms_energy_scan_quartz_mono_70kev_10mm_seed101
25,energy_scan,material,Quartz,mono_70kev,10.0,202,0,5.355,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_70kev_10mm_seed202.txt,ms_energy_scan_quartz_mono_70kev_10mm_seed202
26,energy_scan,material,Quartz,mono_80kev,10.0,101,0,5.149,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_80kev_10mm_seed101.txt,ms_energy_scan_quartz_mono_80kev_10mm_seed101
27,energy_scan,material,Quartz,mono_80kev,10.0,202,0,6.080,source_models/config/material_sorting_matrix/energy_scan/ms_energy_scan_quartz_mono_80kev_10mm_seed202.txt,ms_energy_scan_quartz_mono_80kev_10mm_seed202
