row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,es2,calibration,AIR_PATH,mono_30kev,1.0,101,0,4.585,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_30kev_seed101.txt,ms_es2_calibration_mono_30kev_seed101
1,es2,calibration,AIR_PATH,mono_30kev,1.0,202,0,4.203,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_30kev_seed202.txt,ms_es2_calibration_mono_30kev_seed202
2,es2,calibration,AIR_PATH,mono_40kev,1.0,101,0,4.084,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_40kev_seed101.txt,ms_es2_calibration_mono_40kev_seed101
3,es2,calibration,AIR_PATH,mono_40kev,1.0,202,0,3.325,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_40kev_seed202.txt,ms_es2_calibration_mono_40kev_seed202
4,es2,calibration,AIR_PATH,mono_50kev,1.0,101,0,4.648,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_50kev_seed101.txt,ms_es2_calibration_mono_50kev_seed101
5,es2,calibration,AIR_PATH,mono_50kev,1.0,202,0,4.960,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_50kev_seed202.txt,ms_es2_calibration_mono_50kev_seed202
6,es2,calibration,AIR_PATH,mono_60kev,1.0,101,0,3.887,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_60kev_seed101.txt,ms_es2_calibration_mono_60kev_seed101
7,es2,calibration,AIR_PATH,mono_60kev,1.0,202,0,2.819,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_60kev_seed202.txt,ms_es2_calibration_mono_60kev_seed202
8,es2,calibration,AIR_PATH,mono_70kev,1.0,101,0,2.744,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_70kev_seed101.txt,ms_es2_calibration_mono_70kev_seed101
9,es2,calibration,AIR_PATH,mono_70kev,1.0,202,0,5.315,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_70kev_seed202.txt,ms_es2_calibration_mono_70kev_seed202
10,es2,calibration,AIR_PATH,mono_80kev,1.0,101,0,5.738,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_80kev_seed101.txt,ms_es2_calibration_mono_80kev_seed101
11,es2,calibration,AIR_PATH,mono_80kev,1.0,202,0,3.921,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_80kev_seed202.txt,ms_es2_calibration_mono_80kev_seed202
12,es2,calibration,AIR_PATH,mono_90kev,1.0,101,0,4.071,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_90kev_seed101.txt,ms_es2_calibration_mono_90kev_seed101
13,es2,calibration,AIR_PATH,mono_90kev,1.0,202,0,3.541,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_90kev_seed202.txt,ms_es2_calibration_mono_90kev_seed202
14,es2,calibration,AIR_PATH,mono_100kev,1.0,101,0,3.759,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_100kev_seed101.txt,ms_es2_calibration_mono_100kev_seed101
