row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,selected_rebuild,calibration,AIR_PATH,mono_40kev,1.0,101,0,5.464,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_40kev_seed101.txt,ms_selected_rebuild_calibration_mono_40kev_seed101
1,selected_rebuild,calibration,AIR_PATH,mono_40kev,1.0,202,0,3.378,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_40kev_seed202.txt,ms_selected_rebuild_calibration_mono_40kev_seed202
2,selected_rebuild,calibration,AIR_PATH,mono_40kev,1.0,303,0,2.579,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_40kev_seed303.txt,ms_selected_rebuild_calibration_mono_40kev_seed303
3,selected_rebuild,calibration,AIR_PATH,mono_40kev,1.0,404,0,2.469,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_40kev_seed404.txt,ms_selected_rebuild_calibration_mono_40kev_seed404
4,selected_rebuild,calibration,AIR_PATH,mono_40kev,1.0,505,0,2.291,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_40kev_seed505.txt,ms_selected_rebuild_calibration_mono_40kev_seed505
5,selected_rebuild,calibration,AIR_PATH,mono_50kev,1.0,101,0,2.126,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_50kev_seed101.txt,ms_selected_rebuild_calibration_mono_50kev_seed101
6,selected_rebuild,calibration,AIR_PATH,mono_50kev,1.0,202,0,2.265,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_50kev_seed202.txt,ms_selected_rebuild_calibration_mono_50kev_seed202
7,selected_rebuild,calibration,AIR_PATH,mono_50kev,1.0,303,0,2.270,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_50kev_seed303.txt,ms_selected_rebuild_calibration_mono_50kev_seed303
8,selected_rebuild,calibration,AIR_PATH,mono_50kev,1.0,404,0,2.389,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_50kev_seed404.txt,ms_selected_rebuild_calibration_mono_50kev_seed404
9,selected_rebuild,calibration,AIR_PATH,mono_50kev,1.0,505,0,2.387,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_50kev_seed505.txt,ms_selected_rebuild_calibration_mono_50kev_seed505
10,selected_rebuild,calibration,AIR_PATH,mono_120kev,1.0,101,0,2.231,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_120kev_seed101.txt,ms_selected_rebuild_calibration_mono_120kev_seed101
11,selected_rebuild,calibration,AIR_PATH,mono_120kev,1.0,202,0,2.221,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_120kev_seed202.txt,ms_selected_rebuild_calibration_mono_120kev_seed202
12,selected_rebuild,calibration,AIR_PATH,mono_120kev,1.0,303,0,2.341,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_120kev_seed303.txt,ms_selected_rebuild_calibration_mono_120kev_seed303
13,selected_rebuild,calibration,AIR_PATH,mono_120kev,1.0,404,0,2.250,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_120kev_seed404.txt,ms_selected_rebuild_calibration_mono_120kev_seed404
14,selected_rebuild,calibration,AIR_PATH,mono_120kev,1.0,505,0,2.244,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calibration_mono_120kev_seed505.txt,ms_selected_rebuild_calibration_mono_120kev_seed505
15,selected_rebuild,material,Quartz,mono_40kev,5.0,101,0,4.618,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_5mm_seed101.txt,ms_selected_rebuild_quartz_mono_40kev_5mm_seed101
16,selected_rebuild,material,Quartz,mono_40kev,5.0,202,0,2.929,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_5mm_seed202.txt,ms_selected_rebuild_quartz_mono_40kev_5mm_seed202
17,selected_rebuild,material,Quartz,mono_40kev,5.0,303,0,3.081,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_5mm_seed303.txt,ms_selected_rebuild_quartz_mono_40kev_5mm_seed303
18,selected_rebuild,material,Quartz,mono_40kev,5.0,404,0,3.095,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_5mm_seed404.txt,ms_selected_rebuild_quartz_mono_40kev_5mm_seed404
19,selected_rebuild,material,Quartz,mono_40kev,5.0,505,0,2.756,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_5mm_seed505.txt,ms_selected_rebuild_quartz_mono_40kev_5mm_seed505
20,selected_rebuild,material,Quartz,mono_50kev,5.0,101,0,2.708,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_5mm_seed101.txt,ms_selected_rebuild_quartz_mono_50kev_5mm_seed101
21,selected_rebuild,material,Quartz,mono_50kev,5.0,202,0,2.946,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_5mm_seed202.txt,ms_selected_rebuild_quartz_mono_50kev_5mm_seed202
22,selected_rebuild,material,Quartz,mono_50kev,5.0,303,0,2.880,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_5mm_seed303.txt,ms_selected_rebuild_quartz_mono_50kev_5mm_seed303
23,selected_rebuild,material,Quartz,mono_50kev,5.0,404,0,2.892,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_5mm_seed404.txt,ms_selected_rebuild_quartz_mono_50kev_5mm_seed404
24,selected_rebuild,material,Quartz,mono_50kev,5.0,505,0,3.001,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_5mm_seed505.txt,ms_selected_rebuild_quartz_mono_50kev_5mm_seed505
25,selected_rebuild,material,Quartz,mono_120kev,5.0,101,0,2.865,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_5mm_seed101.txt,ms_selected_rebuild_quartz_mono_120kev_5mm_seed101
26,selected_rebuild,material,Quartz,mono_120kev,5.0,202,0,2.997,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_5mm_seed202.txt,ms_selected_rebuild_quartz_mono_120kev_5mm_seed202
27,selected_rebuild,material,Quartz,mono_120kev,5.0,303,0,3.120,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_5mm_seed303.txt,ms_selected_rebuild_quartz_mono_120kev_5mm_seed303
28,selected_rebuild,material,Quartz,mono_120kev,5.0,404,0,3.012,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_5mm_seed404.txt,ms_selected_rebuild_quartz_mono_120kev_5mm_seed404
29,selected_rebuild,material,Quartz,mono_120kev,5.0,505,0,2.832,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_5mm_seed505.txt,ms_selected_rebuild_quartz_mono_120kev_5mm_seed505
30,selected_rebuild,material,Quartz,mono_40kev,10.0,101,0,2.720,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_10mm_seed101.txt,ms_selected_rebuild_quartz_mono_40kev_10mm_seed101
31,selected_rebuild,material,Quartz,mono_40kev,10.0,202,0,3.039,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_10mm_seed202.txt,ms_selected_rebuild_quartz_mono_40kev_10mm_seed202
32,selected_rebuild,material,Quartz,mono_40kev,10.0,303,0,3.049,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_10mm_seed303.txt,ms_selected_rebuild_quartz_mono_40kev_10mm_seed303
33,selected_rebuild,material,Quartz,mono_40kev,10.0,404,0,2.860,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_10mm_seed404.txt,ms_selected_rebuild_quartz_mono_40kev_10mm_seed404
34,selected_rebuild,material,Quartz,mono_40kev,10.0,505,0,2.813,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_10mm_seed505.txt,ms_selected_rebuild_quartz_mono_40kev_10mm_seed505
35,selected_rebuild,material,Quartz,mono_50kev,10.0,101,0,2.738,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_10mm_seed101.txt,ms_selected_rebuild_quartz_mono_50kev_10mm_seed101
36,selected_rebuild,material,Quartz,mono_50kev,10.0,202,0,2.838,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_10mm_seed202.txt,ms_selected_rebuild_quartz_mono_50kev_10mm_seed202
37,selected_rebuild,material,Quartz,mono_50kev,10.0,303,0,2.966,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_10mm_seed303.txt,ms_selected_rebuild_quartz_mono_50kev_10mm_seed303
38,selected_rebuild,material,Quartz,mono_50kev,10.0,404,0,3.031,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_10mm_seed404.txt,ms_selected_rebuild_quartz_mono_50kev_10mm_seed404
39,selected_rebuild,material,Quartz,mono_50kev,10.0,505,0,3.051,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_10mm_seed505.txt,ms_selected_rebuild_quartz_mono_50kev_10mm_seed505
40,selected_rebuild,material,Quartz,mono_120kev,10.0,101,0,3.176,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_10mm_seed101.txt,ms_selected_rebuild_quartz_mono_120kev_10mm_seed101
41,selected_rebuild,material,Quartz,mono_120kev,10.0,202,0,3.154,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_10mm_seed202.txt,ms_selected_rebuild_quartz_mono_120kev_10mm_seed202
42,selected_rebuild,material,Quartz,mono_120kev,10.0,303,0,2.757,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_10mm_seed303.txt,ms_selected_rebuild_quartz_mono_120kev_10mm_seed303
43,selected_rebuild,material,Quartz,mono_120kev,10.0,404,0,2.869,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_10mm_seed404.txt,ms_selected_rebuild_quartz_mono_120kev_10mm_seed404
44,selected_rebuild,material,Quartz,mono_120kev,10.0,505,0,2.814,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_10mm_seed505.txt,ms_selected_rebuild_quartz_mono_120kev_10mm_seed505
45,selected_rebuild,material,Quartz,mono_40kev,20.0,101,0,2.720,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_20mm_seed101.txt,ms_selected_rebuild_quartz_mono_40kev_20mm_seed101
46,selected_rebuild,material,Quartz,mono_40kev,20.0,202,0,2.640,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_20mm_seed202.txt,ms_selected_rebuild_quartz_mono_40kev_20mm_seed202
47,selected_rebuild,material,Quartz,mono_40kev,20.0,303,0,2.705,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_20mm_seed303.txt,ms_selected_rebuild_quartz_mono_40kev_20mm_seed303
48,selected_rebuild,material,Quartz,mono_40kev,20.0,404,0,2.920,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_20mm_seed404.txt,ms_selected_rebuild_quartz_mono_40kev_20mm_seed404
49,selected_rebuild,material,Quartz,mono_40kev,20.0,505,0,2.757,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_40kev_20mm_seed505.txt,ms_selected_rebuild_quartz_mono_40kev_20mm_seed505
50,selected_rebuild,material,Quartz,mono_50kev,20.0,101,0,2.608,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed101.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed101
51,selected_rebuild,material,Quartz,mono_50kev,20.0,202,0,2.658,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed202.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed202
52,selected_rebuild,material,Quartz,mono_50kev,20.0,303,0,2.843,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed303.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed303
53,selected_rebuild,material,Quartz,mono_50kev,20.0,404,0,2.972,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed404.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed404
54,selected_rebuild,material,Quartz,mono_50kev,20.0,505,0,3.244,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed505.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed505
55,selected_rebuild,material,Quartz,mono_120kev,20.0,101,0,2.917,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed101.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed101
56,selected_rebuild,material,Quartz,mono_120kev,20.0,202,0,2.930,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed202.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed202
57,selected_rebuild,material,Quartz,mono_120kev,20.0,303,0,2.808,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed303.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed303
