row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,sr2,calibration,AIR_PATH,mono_40kev,1.0,606,0,3.499,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed606.txt,ms_sr2_calibration_mono_40kev_seed606
1,sr2,calibration,AIR_PATH,mono_40kev,1.0,707,0,2.504,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed707.txt,ms_sr2_calibration_mono_40kev_seed707
2,sr2,calibration,AIR_PATH,mono_40kev,1.0,808,0,2.616,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed808.txt,ms_sr2_calibration_mono_40kev_seed808
3,sr2,calibration,AIR_PATH,mono_40kev,1.0,909,0,2.791,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed909.txt,ms_sr2_calibration_mono_40kev_seed909
4,sr2,calibration,AIR_PATH,mono_40kev,1.0,1001,0,2.735,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed1001.txt,ms_sr2_calibration_mono_40kev_seed1001
5,sr2,calibration,AIR_PATH,mono_40kev,1.0,1102,0,2.805,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed1102.txt,ms_sr2_calibration_mono_40kev_seed1102
6,sr2,calibration,AIR_PATH,mono_50kev,1.0,606,0,3.165,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed606.txt,ms_sr2_calibration_mono_50kev_seed606
7,sr2,calibration,AIR_PATH,mono_50kev,1.0,707,0,2.829,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed707.txt,ms_sr2_calibration_mono_50kev_seed707
8,sr2,calibration,AIR_PATH,mono_50kev,1.0,808,0,2.816,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed808.txt,ms_sr2_calibration_mono_50kev_seed808
9,sr2,calibration,AIR_PATH,mono_50kev,1.0,909,0,2.574,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed909.txt,ms_sr2_calibration_mono_50kev_seed909
10,sr2,calibration,AIR_PATH,mono_50kev,1.0,1001,0,2.722,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed1001.txt,ms_sr2_calibration_mono_50kev_seed1001
11,sr2,calibration,AIR_PATH,mono_50kev,1.0,1102,0,2.803,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed1102.txt,ms_sr2_calibration_mono_50kev_seed1102
12,sr2,calibration,AIR_PATH,mono_120kev,1.0,606,0,2.719,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_120kev_seed606.txt,ms_sr2_calibration_mono_120kev_seed606
13,sr2,calibration,AIR_PATH,mono_120kev,1.0,707,0,2.580,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_120kev_seed707.txt,ms_sr2_calibration_mono_120kev_seed707
