row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2101,0,4.566,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2101.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2101
1,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2102,0,4.621,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2102.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2102
2,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2103,0,2.423,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2103.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2103
3,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2104,0,2.487,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2104.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2104
4,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2105,0,2.627,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2105.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2105
5,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2106,0,2.419,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2106.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2106
6,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2107,0,2.302,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2107.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2107
7,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2108,0,2.259,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2108.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2108
8,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2109,0,2.258,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2109.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2109
9,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2110,0,2.302,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2110.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2110
10,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2111,0,2.275,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2111.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2111
11,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2112,0,2.278,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2112.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2112
12,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2201,0,2.272,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2201.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2201
13,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2202,0,2.458,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2202.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2202
14,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2203,0,2.777,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2203.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2203
15,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2204,0,2.663,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2204.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2204
16,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2205,0,2.507,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2205.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2205
17,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2206,0,2.365,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2206.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2206
18,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2301,0,2.301,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2301.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2301
19,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2302,0,2.368,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2302.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2302
20,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2303,0,3.394,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2303.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2303
21,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2304,0,2.797,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2304.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2304
22,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2305,0,2.860,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2305.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2305
23,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,1.0,2306,0,3.370,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2306.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2306
24,v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_wide,1.0,2101,0,5.026,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_wide_seed2101.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_wide_seed2101
