method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall,photons_per_sample,source_subset,source_count,feature_table_rows,table_mode,gpu_status
ExtraTrees,50,0.88,1.0,0.8631313131313132,0.2,1000,mono_40kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8595598845598846,0.6,1000,mono_40kev;mono_50kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8553030303030305,0.6,1000,mono_40kev;mono_90kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8548196248196248,0.4,1000,mono_70kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8534343434343434,0.4,1000,mono_40kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8530014430014429,0.4,1000,mono_50kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8530014430014429,0.4,1000,mono_60kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8516666666666666,0.4,1000,mono_40kev;mono_70kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8434343434343436,0.2,1000,mono_40kev;mono_80kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8429292929292928,0.2,1000,mono_40kev;mono_70kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8397619047619049,0.6,1000,mono_50kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8397619047619049,0.6,1000,mono_40kev;mono_110kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8358119658119658,0.4,1000,mono_40kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8354079254079252,0.4,1000,mono_50kev;mono_80kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8338134088134087,0.4,1000,mono_50kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8331313131313131,0.4,1000,mono_50kev;mono_70kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.831969696969697,0.4,1000,mono_40kev;mono_90kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8310966810966811,0.2,1000,mono_40kev;mono_70kev;mono_80kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8306637806637805,0.4,1000,mono_70kev;mono_90kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8265512265512266,0.2,1000,mono_40kev;mono_90kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8260461760461759,0.2,1000,mono_40kev;mono_60kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8260461760461759,0.2,1000,mono_60kev;mono_80kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8255788655788656,0.2,1000,mono_40kev;mono_80kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8232323232323232,0.2,1000,mono_40kev;mono_80kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8231313131313129,0.2,1000,mono_50kev;mono_80kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8231313131313129,0.2,1000,mono_60kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8214646464646463,0.2,1000,mono_50kev;mono_70kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.819943944943945,0.4,1000,mono_40kev;mono_50kev;mono_80kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,0.98,0.8195598845598845,0.6,1000,mono_50kev;mono_60kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8143184593184593,0.4,1000,mono_60kev;mono_80kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8122222222222222,0.4,1000,mono_60kev;mono_70kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8120202020202019,0.4,1000,mono_50kev;mono_70kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8100233100233101,0.2,1000,mono_50kev;mono_60kev;mono_80kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,0.98,0.8071972471972473,0.4,1000,mono_60kev;mono_90kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,0.98,0.8070673770673771,0.4,1000,mono_70kev;mono_110kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8063492063492064,0.2,1000,mono_40kev;mono_60kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8062481962481961,0.2,1000,mono_60kev;mono_70kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,1.0,0.8053768453768452,0.2,1000,mono_40kev;mono_60kev;mono_80kev,3,100,filtered_energy_scan_fused,
