method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall,photons_per_sample,source_subset,source_count,feature_table_rows,table_mode,gpu_status
ExtraTrees,50,0.88,1.0,0.8787878787878787,0.4,1000,mono_40kev;mono_70kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,0.98,0.8767676767676769,0.6,1000,mono_40kev;mono_110kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,0.98,0.8767676767676769,0.6,1000,mono_40kev;mono_120kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,0.98,0.8743145743145743,0.4,1000,mono_70kev;mono_120kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8733044733044732,0.4,1000,mono_30kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,0.98,0.8733044733044732,0.4,1000,mono_30kev;mono_90kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8732034632034633,0.4,1000,mono_30kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8731313131313131,0.4,1000,mono_30kev;mono_60kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8731313131313131,0.4,1000,mono_30kev;mono_70kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8731313131313131,0.4,1000,mono_30kev;mono_70kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8731313131313131,0.4,1000,mono_40kev;mono_70kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.88,1.0,0.8631313131313132,0.2,1000,mono_40kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8595598845598846,0.6,1000,mono_40kev;mono_50kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8585858585858585,0.4,1000,mono_30kev;mono_60kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8556099456099456,0.4,1000,mono_30kev;mono_40kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8556099456099456,0.4,1000,mono_30kev;mono_110kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8553030303030305,0.6,1000,mono_40kev;mono_90kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8548196248196248,0.4,1000,mono_70kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8534343434343434,0.4,1000,mono_30kev;mono_80kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8534343434343434,0.4,1000,mono_30kev;mono_90kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8534343434343434,0.4,1000,mono_30kev;mono_120kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8534343434343434,0.4,1000,mono_40kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8534343434343434,0.4,1000,mono_40kev;mono_80kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8533333333333333,0.4,1000,mono_30kev;mono_70kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.853131313131313,0.4,1000,mono_30kev;mono_110kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8530014430014429,0.4,1000,mono_50kev;mono_70kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8530014430014429,0.4,1000,mono_60kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8530014430014429,0.4,1000,mono_60kev;mono_90kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8530014430014429,0.4,1000,mono_60kev;mono_120kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8529292929292929,0.4,1000,mono_40kev;mono_60kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8529292929292929,0.4,1000,mono_60kev;mono_110kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8529292929292929,0.4,1000,mono_60kev;mono_110kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8520202020202021,0.4,1000,mono_30kev;mono_90kev;mono_200kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8516666666666666,0.4,1000,mono_40kev;mono_70kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8473970473970475,0.2,1000,mono_30kev;mono_60kev;mono_80kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8462481962481962,0.2,1000,mono_30kev;mono_60kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8462481962481962,0.2,1000,mono_30kev;mono_60kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,1.0,0.8434343434343436,0.2,1000,mono_40kev;mono_80kev;mono_90kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8429292929292928,0.2,1000,mono_40kev;mono_70kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8397619047619049,0.6,1000,mono_50kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8397619047619049,0.6,1000,mono_30kev;mono_50kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8397619047619049,0.6,1000,mono_40kev;mono_110kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8362987012987013,0.4,1000,mono_30kev;mono_110kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8362265512265512,0.4,1000,mono_30kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8362265512265512,0.4,1000,mono_30kev;mono_60kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8358119658119658,0.4,1000,mono_40kev;mono_120kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8354079254079252,0.4,1000,mono_50kev;mono_80kev;mono_110kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8344444444444445,0.4,1000,mono_70kev;mono_150kev,2,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,1.0,0.8338134088134087,0.4,1000,mono_50kev;mono_80kev;mono_120kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8338134088134087,0.4,1000,mono_50kev;mono_90kev;mono_150kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8336363636363636,0.4,1000,mono_30kev;mono_80kev;mono_100kev,3,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8332323232323233,0.4,1000,mono_40kev;mono_90kev;mono_150kev,3,100,filtered_energy_scan_fused,
