method,pair,pair_samples,pair_accuracy,left_recall,right_recall,photons_per_sample,source_subset,source_count
ExtraTrees,Chalcopyrite|Pyrite,10,1.0,1.0,1.0,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,1.0,1.0,1.0,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,1.0,1.0,1.0,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,1.0,1.0,1.0,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,1.0,1.0,1.0,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.9,0.8,1.0,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,0.9,0.8,1.0,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.9,0.8,1.0,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,0.9,0.8,1.0,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.9,1.0,0.8,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.9,1.0,0.8,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4
ExtraTrees,Dolomite|Orthoclase,10,0.9,0.8,1.0,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.9,0.8,1.0,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.9,0.8,1.0,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.9,0.8,1.0,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.9,1.0,0.8,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.8,1.0,0.6,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.8,0.8,0.8,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.8,0.8,0.8,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.8,0.6,1.0,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.8,1.0,0.6,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4
ExtraTrees,Quartz|Albite,10,0.8,0.8,0.8,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4
ExtraTrees,Chalcopyrite|Pyrite,10,0.8,1.0,0.6,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4
ExtraTrees,Quartz|Albite,10,0.8,0.8,0.8,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.6,0.6,0.6,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.5,0.4,0.6,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.5,0.4,0.6,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.5,0.6,0.4,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.5,0.6,0.4,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4
ExtraTrees,Hematite|Magnetite,10,0.5,0.4,0.6,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.4,0.2,0.6,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.4,0.4,0.4,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.4,0.4,0.4,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4
ExtraTrees,Hematite|Magnetite,10,0.4,0.4,0.4,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4
