method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall,photons_per_sample,source_subset,source_count,feature_table_rows,table_mode,gpu_status
ExtraTrees,50,0.86,0.98,0.8591452991452992,0.6,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8534343434343434,0.4,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8529292929292929,0.4,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.86,0.98,0.8520202020202021,0.4,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8362265512265512,0.4,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8333333333333333,0.4,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.84,0.98,0.8322222222222223,0.4,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,0.98,0.8164285714285715,0.4,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.82,0.98,0.8103535353535353,0.4,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,
ExtraTrees,50,0.8,0.98,0.7891414141414141,0.2,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,
XGBoostGPU,50,0.7,0.94,0.6838461538461538,0.4,1000,mono_40kev;mono_50kev;mono_110kev;mono_120kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.68,0.82,0.6638888888888889,0.2,1000,mono_40kev;mono_50kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.66,0.94,0.6612626262626262,0.4,1000,mono_40kev;mono_70kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.64,0.94,0.6393939393939394,0.4,1000,mono_40kev;mono_70kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.64,0.94,0.6289665889665891,0.4,1000,mono_40kev;mono_110kev;mono_150kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.64,0.88,0.6186979686979687,0.2,1000,mono_40kev;mono_50kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.62,0.92,0.5866200466200466,0.0,1000,mono_40kev;mono_110kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.62,0.88,0.5778410478410478,0.0,1000,mono_30kev;mono_40kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.58,0.92,0.5532539682539682,0.0,1000,mono_30kev;mono_70kev;mono_120kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
XGBoostGPU,50,0.52,0.94,0.4938666888666889,0.0,1000,mono_40kev;mono_90kev;mono_110kev;mono_200kev,4,100,filtered_energy_scan_fused,cuda_requested
