photons_per_sample,material,dev_samples,physics_feature_count,within_material_radius,nearest_material,nearest_centroid_distance,separability_ratio
100,Albite,600,122,9.505381277196095,Quartz,0.42706278946720483,0.04492852806354551
100,Calcite,600,122,8.006561834600774,Dolomite,1.5277700127802631,0.19081473975232732
100,Chalcopyrite,600,122,7.815010004363145,Hematite,0.791692532829396,0.10130409716524887
100,Dolomite,600,122,8.790618835138254,Orthoclase,0.9547614301223997,0.1086114013163652
100,Galena,600,122,3.6934101209231924,Magnetite,10.790543631073474,2.921566595040441
100,Hematite,600,122,7.962565567612602,Magnetite,0.10682329353350202,0.013415687773800098
100,Magnetite,600,122,7.972051788239123,Hematite,0.10682329353350202,0.01339972398211142
100,Orthoclase,600,122,8.546881972828007,Dolomite,0.9547614301223997,0.11170874163908531
100,Pyrite,600,122,8.20109951150986,Chalcopyrite,1.0293454200726126,0.12551309963108903
100,Quartz,600,122,9.214781328162232,Albite,0.42706278946720483,0.046345406826097404
200,Albite,300,122,9.175123812532195,Quartz,0.5080758332439091,0.05537536534928654
200,Calcite,300,122,7.4746954091666185,Dolomite,1.6708830899302731,0.22353861909626174
200,Chalcopyrite,300,122,7.734083351261603,Hematite,0.8983301201884858,0.11615211258900487
200,Dolomite,300,122,8.302924568292415,Orthoclase,1.0233727472892407,0.12325449170011046
200,Galena,300,122,4.043013243211633,Hematite,12.354229793308722,3.0556985718639247
200,Hematite,300,122,7.901107616243104,Magnetite,0.14691406932769177,0.01859411065679775
200,Magnetite,300,122,7.934826295315073,Hematite,0.14691406932769177,0.01851509583951871
200,Orthoclase,300,122,8.110369712393137,Dolomite,1.0233727472892407,0.1261807764109033
200,Pyrite,300,122,8.002487098485808,Chalcopyrite,1.2375947761942423,0.15465126790750014
200,Quartz,300,122,8.838569478266132,Albite,0.5080758332439091,0.057483944035656175
500,Albite,120,122,8.714192156241703,Quartz,0.6949603786734188,0.0797504078649035
500,Calcite,120,122,6.747331174142233,Dolomite,1.8405656570651057,0.2727842475138462
500,Chalcopyrite,120,122,7.318592536063267,Hematite,1.0344322396391232,0.14134305667952285
500,Dolomite,120,122,7.7060629434484555,Orthoclase,1.119724639354298,0.14530437235868493
500,Galena,120,122,4.4962645405705075,Hematite,14.517095800482764,3.22870144082776
500,Hematite,120,122,7.3670546897334965,Magnetite,0.21328725500896042,0.028951496085157485
500,Magnetite,120,122,7.398217556243643,Hematite,0.21328725500896042,0.028829546223462843
500,Orthoclase,120,122,7.575514637792389,Dolomite,1.119724639354298,0.14780839228641518
500,Pyrite,120,122,7.61280758099758,Chalcopyrite,1.5029809180439606,0.19742793996206726
500,Quartz,120,122,8.339971087933105,Albite,0.6949603786734188,0.08332887144883985
1000,Albite,60,122,8.309323229394948,Quartz,0.8108246354357233,0.09758010526866509
1000,Calcite,60,122,6.205886871362784,Dolomite,2.013328512868385,0.32442236776163913
1000,Chalcopyrite,60,122,7.123207039192662,Magnetite,1.1950625969007007,0.16777030210203578
1000,Dolomite,60,122,7.219658497566087,Orthoclase,1.2477526816308238,0.1728271056105313
1000,Galena,60,122,4.727633591754039,Hematite,15.629091959065011,3.3059017065800846
1000,Hematite,60,122,7.107775668166206,Magnetite,0.30066752249485124,0.042301211593024704
1000,Magnetite,60,122,7.154934282597667,Hematite,0.30066752249485124,0.0420224016908358
1000,Orthoclase,60,122,7.209758688500644,Dolomite,1.2477526816308238,0.17306441665252306
1000,Pyrite,60,122,7.317369547168044,Chalcopyrite,1.7006510247119706,0.23241289287762618
1000,Quartz,60,122,7.867383378416989,Albite,0.8108246354357233,0.10306153856186819
