photons_per_sample,method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall
100,LogisticRegression,3000,0.5186666666666667,0.9233333333333333,0.511054635335044,0.23
100,RandomForest,3000,0.512,0.9296666666666666,0.5060098447560868,0.24666666666666667
100,HistGradientBoosting,3000,0.511,0.9263333333333333,0.5064681721605189,0.2866666666666667
100,ExtraTrees,3000,0.5106666666666667,0.922,0.5018614762816045,0.22666666666666666
100,PhysicsOnly,3000,0.346,0.7766666666666666,0.32822808241937984,0.07
200,RandomForest,1500,0.6046666666666667,0.9533333333333334,0.6025929064272606,0.36666666666666664
200,ExtraTrees,1500,0.6006666666666667,0.9533333333333334,0.593575441000921,0.26666666666666666
200,HistGradientBoosting,1500,0.586,0.9473333333333334,0.5801549318784274,0.26666666666666666
200,LogisticRegression,1500,0.542,0.934,0.533740506653779,0.24
200,PhysicsOnly,1500,0.36333333333333334,0.7906666666666666,0.35223953502503336,0.12
500,RandomForest,600,0.71,0.9866666666666667,0.7094076315969571,0.4
500,ExtraTrees,600,0.71,0.985,0.7078206110202045,0.4
500,HistGradientBoosting,600,0.67,0.975,0.6700693785409857,0.31666666666666665
500,LogisticRegression,600,0.55,0.9566666666666667,0.536437727673931,0.25
500,PhysicsOnly,600,0.375,0.8266666666666667,0.3649993684410812,0.11666666666666667
1000,ExtraTrees,300,0.77,0.9966666666666667,0.7681929171139295,0.3333333333333333
1000,RandomForest,300,0.7266666666666667,0.99,0.7252460379758184,0.26666666666666666
1000,HistGradientBoosting,300,0.6733333333333333,0.9766666666666667,0.669944333893121,0.26666666666666666
1000,LogisticRegression,300,0.4766666666666667,0.9266666666666666,0.4586477445728613,0.13333333333333333
1000,PhysicsOnly,300,0.39,0.85,0.3792017029238912,0.1
