photons_per_sample,method,holdout_seed,train_seeds,top1_accuracy,top3_accuracy,macro_f1,min_class_recall
100,PhysicsOnly,101,202;303,0.3476666666666667,0.7696666666666667,0.3241828527863157,0.06333333333333334
100,ExtraTrees,101,202;303,0.5216666666666666,0.9316666666666666,0.5054052416077555,0.08666666666666667
100,PhysicsOnly,202,101;303,0.347,0.7776666666666666,0.32552539937158764,0.04666666666666667
100,ExtraTrees,202,101;303,0.5236666666666666,0.9316666666666666,0.5147850001633245,0.25333333333333335
100,PhysicsOnly,303,101;202,0.35033333333333333,0.781,0.32839472697679506,0.06333333333333334
100,ExtraTrees,303,101;202,0.5303333333333333,0.9306666666666666,0.5152507753977635,0.16333333333333333
200,PhysicsOnly,101,202;303,0.36933333333333335,0.7966666666666666,0.351132839821593,0.06
200,ExtraTrees,101,202;303,0.622,0.9713333333333334,0.6154700163523688,0.26
200,PhysicsOnly,202,101;303,0.368,0.792,0.3458918397092333,0.06
200,ExtraTrees,202,101;303,0.6,0.952,0.5942361164316516,0.24666666666666667
200,PhysicsOnly,303,101;202,0.368,0.8033333333333333,0.34719286208258016,0.06666666666666667
200,ExtraTrees,303,101;202,0.6133333333333333,0.97,0.6049861688121363,0.2
500,PhysicsOnly,101,202;303,0.4116666666666667,0.805,0.39969105867076915,0.1
500,ExtraTrees,101,202;303,0.7516666666666667,0.995,0.7460857242645899,0.36666666666666664
500,PhysicsOnly,202,101;303,0.38333333333333336,0.815,0.36417417857865636,0.016666666666666666
500,ExtraTrees,202,101;303,0.715,0.985,0.7144072876649064,0.38333333333333336
500,PhysicsOnly,303,101;202,0.3983333333333333,0.8283333333333334,0.38547729883351434,0.11666666666666667
500,ExtraTrees,303,101;202,0.7283333333333334,0.995,0.7236215755565083,0.38333333333333336
1000,PhysicsOnly,101,202;303,0.4066666666666667,0.8433333333333334,0.39588576613003335,0.1
1000,ExtraTrees,101,202;303,0.82,0.9966666666666667,0.8157054556315877,0.4666666666666667
1000,PhysicsOnly,202,101;303,0.42,0.8466666666666667,0.40613839526075346,0.1
1000,ExtraTrees,202,101;303,0.7833333333333333,0.9966666666666667,0.7824843791731423,0.43333333333333335
1000,PhysicsOnly,303,101;202,0.42333333333333334,0.8466666666666667,0.41318878192907055,0.16666666666666666
1000,ExtraTrees,303,101;202,0.8033333333333333,1.0,0.7962398424675698,0.3
