split_role,random_seed,material,samples
test,505,Albite,6
test,505,Calcite,6
test,505,Chalcopyrite,6
test,505,Dolomite,6
test,505,Galena,6
test,505,Hematite,6
test,505,Magnetite,6
test,505,Orthoclase,6
test,505,Pyrite,6
test,505,Quartz,6
train,101,Albite,6
train,101,Calcite,6
train,101,Chalcopyrite,6
train,101,Dolomite,6
train,101,Galena,6
train,101,Hematite,6
train,101,Magnetite,6
train,101,Orthoclase,6
train,101,Pyrite,6
train,101,Quartz,6
train,202,Albite,6
train,202,Calcite,6
train,202,Chalcopyrite,6
train,202,Dolomite,6
train,202,Galena,6
train,202,Hematite,6
train,202,Magnetite,6
train,202,Orthoclase,6
train,202,Pyrite,6
train,202,Quartz,6
train,303,Albite,6
train,303,Calcite,6
train,303,Chalcopyrite,6
train,303,Dolomite,6
train,303,Galena,6
train,303,Hematite,6
train,303,Magnetite,6
train,303,Orthoclase,6
train,303,Pyrite,6
train,303,Quartz,6
validation,404,Albite,6
validation,404,Calcite,6
validation,404,Chalcopyrite,6
validation,404,Dolomite,6
validation,404,Galena,6
validation,404,Hematite,6
validation,404,Magnetite,6
validation,404,Orthoclase,6
validation,404,Pyrite,6
validation,404,Quartz,6
