split_role,random_seed,material,samples
test,707,Albite,3
test,707,Calcite,3
test,707,Chalcopyrite,3
test,707,Dolomite,3
test,707,Galena,3
test,707,Hematite,3
test,707,Magnetite,3
test,707,Orthoclase,3
test,707,Pyrite,3
test,707,Quartz,3
test,808,Albite,3
test,808,Calcite,3
test,808,Chalcopyrite,3
test,808,Dolomite,3
test,808,Galena,3
test,808,Hematite,3
test,808,Magnetite,3
test,808,Orthoclase,3
test,808,Pyrite,3
test,808,Quartz,3
test,909,Albite,3
test,909,Calcite,3
test,909,Chalcopyrite,3
test,909,Dolomite,3
test,909,Galena,3
test,909,Hematite,3
test,909,Magnetite,3
test,909,Orthoclase,3
test,909,Pyrite,3
test,909,Quartz,3
test,1001,Albite,3
test,1001,Calcite,3
test,1001,Chalcopyrite,3
test,1001,Dolomite,3
test,1001,Galena,3
test,1001,Hematite,3
test,1001,Magnetite,3
test,1001,Orthoclase,3
test,1001,Pyrite,3
test,1001,Quartz,3
test,1102,Albite,3
test,1102,Calcite,3
test,1102,Chalcopyrite,3
test,1102,Dolomite,3
test,1102,Galena,3
test,1102,Hematite,3
test,1102,Magnetite,3
test,1102,Orthoclase,3
test,1102,Pyrite,3
test,1102,Quartz,3
train,101,Albite,3
train,101,Calcite,3
train,101,Chalcopyrite,3
train,101,Dolomite,3
train,101,Galena,3
train,101,Hematite,3
train,101,Magnetite,3
train,101,Orthoclase,3
train,101,Pyrite,3
train,101,Quartz,3
train,202,Albite,3
train,202,Calcite,3
train,202,Chalcopyrite,3
train,202,Dolomite,3
train,202,Galena,3
train,202,Hematite,3
train,202,Magnetite,3
train,202,Orthoclase,3
train,202,Pyrite,3
train,202,Quartz,3
train,303,Albite,3
train,303,Calcite,3
train,303,Chalcopyrite,3
train,303,Dolomite,3
train,303,Galena,3
train,303,Hematite,3
train,303,Magnetite,3
train,303,Orthoclase,3
train,303,Pyrite,3
train,303,Quartz,3
train,404,Albite,3
train,404,Calcite,3
train,404,Chalcopyrite,3
train,404,Dolomite,3
train,404,Galena,3
train,404,Hematite,3
train,404,Magnetite,3
train,404,Orthoclase,3
train,404,Pyrite,3
train,404,Quartz,3
train,505,Albite,3
train,505,Calcite,3
train,505,Chalcopyrite,3
train,505,Dolomite,3
train,505,Galena,3
train,505,Hematite,3
train,505,Magnetite,3
train,505,Orthoclase,3
train,505,Pyrite,3
train,505,Quartz,3
validation,606,Albite,3
validation,606,Calcite,3
validation,606,Chalcopyrite,3
validation,606,Dolomite,3
validation,606,Galena,3
validation,606,Hematite,3
validation,606,Magnetite,3
validation,606,Orthoclase,3
validation,606,Pyrite,3
validation,606,Quartz,3
