split_role,random_seed,material,samples
test,707,Albite,6
test,707,Calcite,6
test,707,Chalcopyrite,6
test,707,Dolomite,6
test,707,Galena,6
test,707,Hematite,6
test,707,Magnetite,6
test,707,Orthoclase,6
test,707,Pyrite,6
test,707,Quartz,6
test,808,Albite,6
test,808,Calcite,6
test,808,Chalcopyrite,6
test,808,Dolomite,6
test,808,Galena,6
test,808,Hematite,6
test,808,Magnetite,6
test,808,Orthoclase,6
test,808,Pyrite,6
test,808,Quartz,6
test,909,Albite,6
test,909,Calcite,6
test,909,Chalcopyrite,6
test,909,Dolomite,6
test,909,Galena,6
test,909,Hematite,6
test,909,Magnetite,6
test,909,Orthoclase,6
test,909,Pyrite,6
test,909,Quartz,6
test,1001,Albite,6
test,1001,Calcite,6
test,1001,Chalcopyrite,6
test,1001,Dolomite,6
test,1001,Galena,6
test,1001,Hematite,6
test,1001,Magnetite,6
test,1001,Orthoclase,6
test,1001,Pyrite,6
test,1001,Quartz,6
test,1102,Albite,6
test,1102,Calcite,6
test,1102,Chalcopyrite,6
test,1102,Dolomite,6
test,1102,Galena,6
test,1102,Hematite,6
test,1102,Magnetite,6
test,1102,Orthoclase,6
test,1102,Pyrite,6
test,1102,Quartz,6
train,101,Albite,6
train,101,Calcite,6
train,101,Chalcopyrite,6
train,101,Dolomite,6
train,101,Galena,6
train,101,Hematite,6
train,101,Magnetite,6
train,101,Orthoclase,6
train,101,Pyrite,6
train,101,Quartz,6
train,202,Albite,6
train,202,Calcite,6
train,202,Chalcopyrite,6
train,202,Dolomite,6
train,202,Galena,6
train,202,Hematite,6
train,202,Magnetite,6
train,202,Orthoclase,6
train,202,Pyrite,6
train,202,Quartz,6
train,303,Albite,6
train,303,Calcite,6
train,303,Chalcopyrite,6
train,303,Dolomite,6
train,303,Galena,6
train,303,Hematite,6
train,303,Magnetite,6
train,303,Orthoclase,6
train,303,Pyrite,6
train,303,Quartz,6
train,404,Albite,6
train,404,Calcite,6
train,404,Chalcopyrite,6
train,404,Dolomite,6
train,404,Galena,6
train,404,Hematite,6
train,404,Magnetite,6
train,404,Orthoclase,6
train,404,Pyrite,6
train,404,Quartz,6
train,505,Albite,6
train,505,Calcite,6
train,505,Chalcopyrite,6
train,505,Dolomite,6
train,505,Galena,6
train,505,Hematite,6
train,505,Magnetite,6
train,505,Orthoclase,6
train,505,Pyrite,6
train,505,Quartz,6
validation,606,Albite,6
validation,606,Calcite,6
validation,606,Chalcopyrite,6
validation,606,Dolomite,6
validation,606,Galena,6
validation,606,Hematite,6
validation,606,Magnetite,6
validation,606,Orthoclase,6
validation,606,Pyrite,6
validation,606,Quartz,6
