feature,family
thickness_mm,other_numeric
mono_100kev__detector_edep_sum,raw_counts
mono_100kev__detector_edep_mean,other_numeric
mono_100kev__detector_edep_std,other_numeric
mono_100kev__detector_edep_max,other_numeric
mono_100kev__detector_gamma_sum,raw_counts
mono_100kev__primary_gamma_sum,raw_counts
mono_100kev__detector_gamma_rate,calibrated_transmission
mono_100kev__primary_transmission_rate,calibrated_transmission
mono_100kev__I_e_000_040,raw_counts
mono_100kev__I_e_040_050,raw_counts
mono_100kev__I_e_050_060,raw_counts
mono_100kev__I_e_060_070,raw_counts
mono_100kev__I_e_070_080,raw_counts
mono_100kev__I_e_080_090,raw_counts
mono_100kev__I_e_090_100,raw_counts
mono_100kev__I_e_100_110,raw_counts
mono_100kev__hit_count,raw_counts
mono_100kev__direct_primary_count,scatter_direct
mono_100kev__scattered_primary_count,scatter_direct
mono_100kev__hit_energy_mean,spectral_shape
mono_100kev__hit_energy_std,spectral_shape
mono_100kev__theta_mean,spectral_shape
mono_100kev__theta_std,spectral_shape
mono_100kev__r_mean,spectral_shape
mono_100kev__r_std,spectral_shape
mono_100kev__I0_e_060_070,other_numeric
mono_100kev__I0_e_070_080,other_numeric
mono_100kev__I0_e_080_090,other_numeric
mono_100kev__I0_e_090_100,other_numeric
mono_100kev__I0_e_100_110,other_numeric
mono_100kev__T_e_000_040,calibrated_transmission
mono_100kev__A_e_000_040,attenuation
mono_100kev__A_per_mm_e_000_040,thickness_normalized_attenuation
mono_100kev__T_e_040_050,calibrated_transmission
mono_100kev__A_e_040_050,attenuation
mono_100kev__A_per_mm_e_040_050,thickness_normalized_attenuation
mono_100kev__T_e_050_060,calibrated_transmission
mono_100kev__A_e_050_060,attenuation
mono_100kev__A_per_mm_e_050_060,thickness_normalized_attenuation
mono_100kev__T_e_060_070,calibrated_transmission
mono_100kev__A_e_060_070,attenuation
mono_100kev__A_per_mm_e_060_070,thickness_normalized_attenuation
mono_100kev__T_e_070_080,calibrated_transmission
mono_100kev__A_e_070_080,attenuation
mono_100kev__A_per_mm_e_070_080,thickness_normalized_attenuation
mono_100kev__T_e_080_090,calibrated_transmission
