run_role,material,source_id,thickness_mm,random_seed,run_id,metadata_path,event_file_exists,hit_file_exists
material,Albite,mono_100kev,10.0,101,material_sorting_full_albite_mono_100kev_10mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_10mm_seed101_metadata.json,True,True
material,Albite,mono_100kev,10.0,202,material_sorting_full_albite_mono_100kev_10mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_10mm_seed202_metadata.json,True,True
material,Albite,mono_100kev,10.0,303,material_sorting_full_albite_mono_100kev_10mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_10mm_seed303_metadata.json,True,True
material,Albite,mono_100kev,20.0,101,material_sorting_full_albite_mono_100kev_20mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_20mm_seed101_metadata.json,True,True
material,Albite,mono_100kev,20.0,202,material_sorting_full_albite_mono_100kev_20mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_20mm_seed202_metadata.json,True,True
material,Albite,mono_100kev,20.0,303,material_sorting_full_albite_mono_100kev_20mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_20mm_seed303_metadata.json,True,True
material,Albite,mono_100kev,5.0,101,material_sorting_full_albite_mono_100kev_5mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_5mm_seed101_metadata.json,True,True
material,Albite,mono_100kev,5.0,202,material_sorting_full_albite_mono_100kev_5mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_5mm_seed202_metadata.json,True,True
material,Albite,mono_100kev,5.0,303,material_sorting_full_albite_mono_100kev_5mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_100kev_5mm_seed303_metadata.json,True,True
material,Albite,mono_60kev,10.0,101,material_sorting_full_albite_mono_60kev_10mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_10mm_seed101_metadata.json,True,True
material,Albite,mono_60kev,10.0,202,material_sorting_full_albite_mono_60kev_10mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_10mm_seed202_metadata.json,True,True
material,Albite,mono_60kev,10.0,303,material_sorting_full_albite_mono_60kev_10mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_10mm_seed303_metadata.json,True,True
material,Albite,mono_60kev,20.0,101,material_sorting_full_albite_mono_60kev_20mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_20mm_seed101_metadata.json,True,True
material,Albite,mono_60kev,20.0,202,material_sorting_full_albite_mono_60kev_20mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_20mm_seed202_metadata.json,True,True
material,Albite,mono_60kev,20.0,303,material_sorting_full_albite_mono_60kev_20mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_20mm_seed303_metadata.json,True,True
material,Albite,mono_60kev,5.0,101,material_sorting_full_albite_mono_60kev_5mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_5mm_seed101_metadata.json,True,True
material,Albite,mono_60kev,5.0,202,material_sorting_full_albite_mono_60kev_5mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_5mm_seed202_metadata.json,True,True
material,Albite,mono_60kev,5.0,303,material_sorting_full_albite_mono_60kev_5mm_seed303,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_mono_60kev_5mm_seed303_metadata.json,True,True
material,Albite,spectrum_120kv,10.0,101,material_sorting_full_albite_spectrum_120kv_10mm_seed101,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_spectrum_120kv_10mm_seed101_metadata.json,True,True
material,Albite,spectrum_120kv,10.0,202,material_sorting_full_albite_spectrum_120kv_10mm_seed202,//wsl.localhost/Ubuntu-22.04/home/dyd/geant4-projects/xrt_sorter/release/xrt_sorter_public_undergrad_repo_20260426/build/material_sorting_runs/full/ms_full_albite_spectrum_120kv_10mm_seed202_metadata.json,True,True
