profile,run_role,material,source_id,source_mode,mono_energy_keV,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
es2,calibration,AIR_PATH,mono_30kev,mono,30.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_30kev_seed101.txt,ms_es2_calibration_mono_30kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_30kev,mono,30.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_30kev_seed202.txt,ms_es2_calibration_mono_30kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_40kev_seed101.txt,ms_es2_calibration_mono_40kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_40kev_seed202.txt,ms_es2_calibration_mono_40kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_50kev_seed101.txt,ms_es2_calibration_mono_50kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_50kev_seed202.txt,ms_es2_calibration_mono_50kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_60kev,mono,60.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_60kev_seed101.txt,ms_es2_calibration_mono_60kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_60kev,mono,60.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_60kev_seed202.txt,ms_es2_calibration_mono_60kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_70kev,mono,70.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_70kev_seed101.txt,ms_es2_calibration_mono_70kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_70kev,mono,70.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_70kev_seed202.txt,ms_es2_calibration_mono_70kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_80kev,mono,80.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_80kev_seed101.txt,ms_es2_calibration_mono_80kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_80kev,mono,80.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_80kev_seed202.txt,ms_es2_calibration_mono_80kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_90kev,mono,90.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_90kev_seed101.txt,ms_es2_calibration_mono_90kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_90kev,mono,90.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_90kev_seed202.txt,ms_es2_calibration_mono_90kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_100kev,mono,100.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_100kev_seed101.txt,ms_es2_calibration_mono_100kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_100kev,mono,100.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_100kev_seed202.txt,ms_es2_calibration_mono_100kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_110kev,mono,110.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_110kev_seed101.txt,ms_es2_calibration_mono_110kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_110kev,mono,110.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_110kev_seed202.txt,ms_es2_calibration_mono_110kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_120kev,mono,120.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_120kev_seed101.txt,ms_es2_calibration_mono_120kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_120kev,mono,120.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_120kev_seed202.txt,ms_es2_calibration_mono_120kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_150kev,mono,150.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_150kev_seed101.txt,ms_es2_calibration_mono_150kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_150kev,mono,150.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_150kev_seed202.txt,ms_es2_calibration_mono_150kev_seed202,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_200kev,mono,200.0,1.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_200kev_seed101.txt,ms_es2_calibration_mono_200kev_seed101,material_sorting_runs/es2
es2,calibration,AIR_PATH,mono_200kev,mono,200.0,1.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calibration_mono_200kev_seed202.txt,ms_es2_calibration_mono_200kev_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_30kev,mono,30.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_30kev_10mm_seed101.txt,ms_es2_quartz_mono_30kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_30kev,mono,30.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_30kev_10mm_seed202.txt,ms_es2_quartz_mono_30kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_40kev,mono,40.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_40kev_10mm_seed101.txt,ms_es2_quartz_mono_40kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_40kev,mono,40.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_40kev_10mm_seed202.txt,ms_es2_quartz_mono_40kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_50kev,mono,50.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_50kev_10mm_seed101.txt,ms_es2_quartz_mono_50kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_50kev,mono,50.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_50kev_10mm_seed202.txt,ms_es2_quartz_mono_50kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_60kev,mono,60.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_60kev_10mm_seed101.txt,ms_es2_quartz_mono_60kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_60kev,mono,60.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_60kev_10mm_seed202.txt,ms_es2_quartz_mono_60kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_70kev,mono,70.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_70kev_10mm_seed101.txt,ms_es2_quartz_mono_70kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_70kev,mono,70.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_70kev_10mm_seed202.txt,ms_es2_quartz_mono_70kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_80kev,mono,80.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_80kev_10mm_seed101.txt,ms_es2_quartz_mono_80kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_80kev,mono,80.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_80kev_10mm_seed202.txt,ms_es2_quartz_mono_80kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_90kev,mono,90.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_90kev_10mm_seed101.txt,ms_es2_quartz_mono_90kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_90kev,mono,90.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_90kev_10mm_seed202.txt,ms_es2_quartz_mono_90kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_100kev,mono,100.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed101.txt,ms_es2_quartz_mono_100kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_100kev,mono,100.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed202.txt,ms_es2_quartz_mono_100kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_110kev,mono,110.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_110kev_10mm_seed101.txt,ms_es2_quartz_mono_110kev_10mm_seed101,material_sorting_runs/es2
