profile,run_role,material,source_id,source_mode,mono_energy_keV,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,606,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed606.txt,ms_sr2_calibration_mono_40kev_seed606,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,707,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed707.txt,ms_sr2_calibration_mono_40kev_seed707,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,808,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed808.txt,ms_sr2_calibration_mono_40kev_seed808,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,909,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed909.txt,ms_sr2_calibration_mono_40kev_seed909,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,1001,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed1001.txt,ms_sr2_calibration_mono_40kev_seed1001,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_40kev,mono,40.0,1.0,1102,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_40kev_seed1102.txt,ms_sr2_calibration_mono_40kev_seed1102,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,606,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed606.txt,ms_sr2_calibration_mono_50kev_seed606,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,707,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed707.txt,ms_sr2_calibration_mono_50kev_seed707,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,808,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed808.txt,ms_sr2_calibration_mono_50kev_seed808,material_sorting_runs/sr2
sr2,calibration,AIR_PATH,mono_50kev,mono,50.0,1.0,909,10000,source_models/config/material_sorting_matrix/sr2/ms_sr2_calibration_mono_50kev_seed909.txt,ms_sr2_calibration_mono_50kev_seed909,material_sorting_runs/sr2
